,Path,Length,Artist,Full_Path
21,Bach/Bwv0537 Fantasia and Fugue.mid,519.51132484375,Bach,raw_data_unzipped/Bach/Bwv0537 Fantasia and Fugue.mid
22,Bach/Bwv0542 Fantasia and Fugue.mid,562.76289,Bach,raw_data_unzipped/Bach/Bwv0542 Fantasia and Fugue.mid
23,Bach/Bwv0552 Prelude and Fugue ''St. Anne''.mid,938.0338475,Bach,raw_data_unzipped/Bach/Bwv0552 Prelude and Fugue ''St. Anne''.mid
24,"Bach/Bwv802 Four Inventions (Duettos) Clavier-U""bung III n1.mid",118.18180799999999,Bach,"raw_data_unzipped/Bach/Bwv802 Four Inventions (Duettos) Clavier-U""bung III n1.mid"
25,Bach/Bwv0998 Prelude Fugue Allegro for Lute 1mov.mid,155.37528856666663,Bach,raw_data_unzipped/Bach/Bwv0998 Prelude Fugue Allegro for Lute 1mov.mid
26,Bach/Minuet in G.mid,48.00416666666666,Bach,raw_data_unzipped/Bach/Minuet in G.mid
27,Bach/Bwv0997 Partita for Lute 3mov.mid,226.79999999999998,Bach,raw_data_unzipped/Bach/Bwv0997 Partita for Lute 3mov.mid
28,Bach/Bwv0733 Fuga Sopra Magnificat.mid,271.6000000000012,Bach,raw_data_unzipped/Bach/Bwv0733 Fuga Sopra Magnificat.mid
29,Bach/Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,214.25082,Bach,raw_data_unzipped/Bach/Bwv0557 Short Prelude and Fugue n5 (Spurious).mid
30,Bach/Bwv0547 Prelude and Fugue.mid,677.90679,Bach,raw_data_unzipped/Bach/Bwv0547 Prelude and Fugue.mid
31,Bach/Bwv0558 Short Prelude and Fugue n6 (Spurious).mid,313.1522,Bach,raw_data_unzipped/Bach/Bwv0558 Short Prelude and Fugue n6 (Spurious).mid
32,Bach/Prelude from Sonata n6.mid,210.90836549999997,Bach,raw_data_unzipped/Bach/Prelude from Sonata n6.mid
33,Bach/Bwv0967 Sonata.mid,290.00000000000114,Bach,raw_data_unzipped/Bach/Bwv0967 Sonata.mid
34,Bach/Bwv0906 Fantasia and Fugue.mid,495.3968787604166,Bach,raw_data_unzipped/Bach/Bwv0906 Fantasia and Fugue.mid
35,Bach/Bwv0525 Sonate en trio n1.mid,1118.2628962208332,Bach,raw_data_unzipped/Bach/Bwv0525 Sonate en trio n1.mid
36,Bach/Bwv0806 English Suite n1 02mov .mid,210.20824925000002,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 02mov .mid
37,Bach/Bwv0551 Prelude and Fugue.mid,367.89343,Bach,raw_data_unzipped/Bach/Bwv0551 Prelude and Fugue.mid
38,Bach/Piano version of Bachs two part inventions No.2.mid,77.36357016666666,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.2.mid
39,Bach/Bwv0541 Prelude and Fugue.mid,484.11082616666675,Bach,raw_data_unzipped/Bach/Bwv0541 Prelude and Fugue.mid
40,Bach/Bwv0937 Little Prelude n5.mid,79.91666666666667,Bach,raw_data_unzipped/Bach/Bwv0937 Little Prelude n5.mid
41,Bach/Bwv0539 Prelude and Fugue.mid,860.154653,Bach,raw_data_unzipped/Bach/Bwv0539 Prelude and Fugue.mid
42,Bach/Bwv0529 Sonate en trio n5.mid,822.660499,Bach,raw_data_unzipped/Bach/Bwv0529 Sonate en trio n5.mid
43,Bach/Bwv0811 English Suite n6 4mov.mid,143.59999999999985,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 4mov.mid
44,Bach/AveMaria.mid,682.6640625,Bach,raw_data_unzipped/Bach/AveMaria.mid
45,Bach/Bwv0811 English Suite n6 8mov.mid,167.92500000000027,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 8mov.mid
46,Bach/Bwv0935 Little Prelude n3.mid,71.99479166666667,Bach,raw_data_unzipped/Bach/Bwv0935 Little Prelude n3.mid
47,Bach/Bwv0816 French Suite n5.mid,1224.665119807292,Bach,raw_data_unzipped/Bach/Bwv0816 French Suite n5.mid
48,Bach/Piano version of Bachs two part inventions No.3.mid,67.04927274999997,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.3.mid
49,Bach/Bwv0806 English Suite n1 09mov .mid,143.89999999999998,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 09mov .mid
50,Bach/Piano version of Bachs two part inventions No.1.mid,80.46312716666668,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.1.mid
51,Bach/Bwv0531 Prelude and Fugue.mid,429.1486,Bach,raw_data_unzipped/Bach/Bwv0531 Prelude and Fugue.mid
52,Bach/Bwv0817 French Suite n6.mid,1018.0475376666665,Bach,raw_data_unzipped/Bach/Bwv0817 French Suite n6.mid
53,Bach/Bwv0549 Prelude and Fugue.mid,333.49520649999994,Bach,raw_data_unzipped/Bach/Bwv0549 Prelude and Fugue.mid
54,Bach/Bwv0806 English Suite n1 10mov .mid,143.93948749999998,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 10mov .mid
55,Bach/Bwv0815 French Suite n4.mid,1119.375,Bach,raw_data_unzipped/Bach/Bwv0815 French Suite n4.mid
56,Bach/Piano version of Bachs two part inventions No.4.mid,91.36335893333334,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.4.mid
57,Bach/Bwv0992 Capriccio.mid,502.0,Bach,raw_data_unzipped/Bach/Bwv0992 Capriccio.mid
58,Bach/Bwv0912 Toccata.mid,506.509728,Bach,raw_data_unzipped/Bach/Bwv0912 Toccata.mid
59,Bach/Bwv0806 English Suite n1 01mov .mid,110.9649735,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 01mov .mid
60,Bach/Bwv0543 Prelude and Fugue.mid,687.9985131666665,Bach,raw_data_unzipped/Bach/Bwv0543 Prelude and Fugue.mid
61,Bach/Bwv0997 Partita for Lute 5mov.mid,288.818199,Bach,raw_data_unzipped/Bach/Bwv0997 Partita for Lute 5mov.mid
62,Bach/Piano version of Bachs two part inventions No.5.mid,130.20224750000003,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.5.mid
63,Bach/Piano version of Bachs two part inventions No.7.mid,69.74905495833335,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.7.mid
64,Bach/Bwv0582 Passacaglia and Fugue (Orchestral).mid,975.3122140000003,Bach,raw_data_unzipped/Bach/Bwv0582 Passacaglia and Fugue (Orchestral).mid
65,Bach/Bwv0572 Fantasia.mid,1438.3213748666624,Bach,raw_data_unzipped/Bach/Bwv0572 Fantasia.mid
66,Bach/Bwv0561 Fantasie and Fuga.mid,735.4610399999999,Bach,raw_data_unzipped/Bach/Bwv0561 Fantasie and Fuga.mid
67,Bach/Bwv1014 Harpsicord and Violin Sonata 4mov.mid,232.51170424999995,Bach,raw_data_unzipped/Bach/Bwv1014 Harpsicord and Violin Sonata 4mov.mid
68,Bach/Bwv0533 Prelude and Fugue.mid,381.5973,Bach,raw_data_unzipped/Bach/Bwv0533 Prelude and Fugue.mid
69,Bach/Bwv0811 English Suite n6 6mov.mid,127.8,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 6mov.mid
70,Bach/Bwv0806 English Suite n1 08mov .mid,191.89999999999998,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 08mov .mid
71,Bach/Bwv0593 Vivaldi Concerto Arrangement RV522.mid,745.63174,Bach,raw_data_unzipped/Bach/Bwv0593 Vivaldi Concerto Arrangement RV522.mid
72,Bach/Piano version of Bachs two part inventions No.6.mid,187.5195132916666,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.6.mid
73,Bach/Bwv0565 Toccata and Fugue In Dm C.mid,618.0172057500001,Bach,raw_data_unzipped/Bach/Bwv0565 Toccata and Fugue In Dm C.mid
74,Bach/Bwv0544 Prelude and Fugue.mid,798.3897199999998,Bach,raw_data_unzipped/Bach/Bwv0544 Prelude and Fugue.mid
75,Bach/Bwv0811 English Suite n6 3mov.mid,191.55000000000015,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 3mov.mid
76,Bach/Bwv0565 Toccata and Fugue In Dm B.mid,565.1373165749995,Bach,raw_data_unzipped/Bach/Bwv0565 Toccata and Fugue In Dm B.mid
77,Bach/Bwv1014 Harpsicord and Violin Sonata 1mov.mid,271.456396979167,Bach,raw_data_unzipped/Bach/Bwv1014 Harpsicord and Violin Sonata 1mov.mid
78,Bach/Bwv0806 English Suite n1 04mov .mid,144.29999999999995,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 04mov .mid
79,Bach/Bwv0526 Sonate en trio n2.mid,785.2799299999999,Bach,raw_data_unzipped/Bach/Bwv0526 Sonate en trio n2.mid
80,Bach/Piano version of Bachs two part inventions No.8.mid,60.94165739166666,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.8.mid
81,Bach/Bwv0555 Short Prelude and Fugue n3 (Spurious).mid,202.51113999999995,Bach,raw_data_unzipped/Bach/Bwv0555 Short Prelude and Fugue n3 (Spurious).mid
82,Bach/Bwv0570 Fantasia.mid,83.99583333333335,Bach,raw_data_unzipped/Bach/Bwv0570 Fantasia.mid
83,Bach/Bwv0998 Prelude Fugue Allegro for Lute 2mov.mid,1033.928615,Bach,raw_data_unzipped/Bach/Bwv0998 Prelude Fugue Allegro for Lute 2mov.mid
84,Bach/Bwv0915 Toccata.mid,427.7760416666529,Bach,raw_data_unzipped/Bach/Bwv0915 Toccata.mid
85,Bach/Bwv0565 Toccata and Fugue In Dm A.mid,132.53125,Bach,raw_data_unzipped/Bach/Bwv0565 Toccata and Fugue In Dm A.mid
86,Bach/Piano version of Bachs two part inventions No...mid,67.04927274999997,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No...mid
87,Bach/Piano version of Bachs two part inventions No.9.mid,68.68423591666664,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.9.mid
88,Bach/Bwv1046 aSinfonia h.mid,191.08916062499821,Bach,raw_data_unzipped/Bach/Bwv1046 aSinfonia h.mid
89,Bach/Bwv0568 Prelude.mid,171.58846999999997,Bach,raw_data_unzipped/Bach/Bwv0568 Prelude.mid
90,"Bach/Clavierubung Part 111,Duet No.2 in F Major.mid",197.74555299999997,Bach,"raw_data_unzipped/Bach/Clavierubung Part 111,Duet No.2 in F Major.mid"
91,Bach/Bwv0530 Sonate en trio n6.mid,834.1750159999999,Bach,raw_data_unzipped/Bach/Bwv0530 Sonate en trio n6.mid
92,Bach/Bwv0550 Prelude and Fugue.mid,478.0,Bach,raw_data_unzipped/Bach/Bwv0550 Prelude and Fugue.mid
93,Bach/Bwv0546 Prelude and Fugue.mid,782.9082199999999,Bach,raw_data_unzipped/Bach/Bwv0546 Prelude and Fugue.mid
94,Bach/Bwv0963 Sonata.mid,522.0000000000041,Bach,raw_data_unzipped/Bach/Bwv0963 Sonata.mid
95,Bach/Bwv0938 Little Prelude n6.mid,95.41484816666669,Bach,raw_data_unzipped/Bach/Bwv0938 Little Prelude n6.mid
96,Bach/Bwv0997 Partita for Lute 2mov.mid,534.6,Bach,raw_data_unzipped/Bach/Bwv0997 Partita for Lute 2mov.mid
97,Bach/Bwv0910 Toccata.mid,401.578608,Bach,raw_data_unzipped/Bach/Bwv0910 Toccata.mid
98,Bach/Bwv0554 Short Prelude and Fugue n2 (Spurious).mid,222.69725,Bach,raw_data_unzipped/Bach/Bwv0554 Short Prelude and Fugue n2 (Spurious).mid
99,Bach/Bwv1014 Harpsicord and Violin Sonata 3mov.mid,202.11391227083354,Bach,raw_data_unzipped/Bach/Bwv1014 Harpsicord and Violin Sonata 3mov.mid
100,Bach/Bwv0811 English Suite n6 1mov.mid,437.2499999999995,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 1mov.mid
101,Bach/Bwv0536 Prelude and Fugue.mid,462.48555999999996,Bach,raw_data_unzipped/Bach/Bwv0536 Prelude and Fugue.mid
102,Bach/Bwv0590 Pastorale.mid,774.8459849999999,Bach,raw_data_unzipped/Bach/Bwv0590 Pastorale.mid
103,Bach/Piano version of Bachs two part inventions No.10.mid,72.44792294999993,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.10.mid
104,"Bach/Tocatto No.1 in F Sharp Minor, BWV 910.mid",401.578608,Bach,"raw_data_unzipped/Bach/Tocatto No.1 in F Sharp Minor, BWV 910.mid"
105,Bach/Bwv0806 English Suite n1 07mov .mid,95.93750000000001,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 07mov .mid
106,Bach/Bwv0532 Toccata and Fugue.mid,702.2581824166671,Bach,raw_data_unzipped/Bach/Bwv0532 Toccata and Fugue.mid
107,Bach/Piano version of Bachs two part inventions No.11.mid,82.5461861833333,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.11.mid
108,"Bach/Prelude and Fugue in A, BWV 888.mid",126.72500000000053,Bach,"raw_data_unzipped/Bach/Prelude and Fugue in A, BWV 888.mid"
109,"Bach/Toccata and Fugue in D minor, BWV 565. (Busoni Piano Arr.mid",1390.332226562521,Bach,"raw_data_unzipped/Bach/Toccata and Fugue in D minor, BWV 565. (Busoni Piano Arr.mid"
110,Bach/Bwv0811 English Suite n6 5mov.mid,143.875,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 5mov.mid
111,Bach/Bwv0594 Vivaldi Concerto Arrangement RV208.mid,1245.83006,Bach,raw_data_unzipped/Bach/Bwv0594 Vivaldi Concerto Arrangement RV208.mid
112,Bach/Bwv0913 Toccata.mid,657.075336,Bach,raw_data_unzipped/Bach/Bwv0913 Toccata.mid
113,Bach/Piano version of Bachs two part inventions No.13.mid,75.57007113333329,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.13.mid
114,Bach/Bwv0934 Little Prelude n2.mid,119.91666666666667,Bach,raw_data_unzipped/Bach/Bwv0934 Little Prelude n2.mid
115,Bach/Bwv1005 Violin Sonata n3 1mov Adagio.mid,223.78383599999998,Bach,raw_data_unzipped/Bach/Bwv1005 Violin Sonata n3 1mov Adagio.mid
116,Bach/Piano version of Bachs two part inventions No.12.mid,102.25711258333335,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.12.mid
117,Bach/Bwv0528 Sonate en trio n4.mid,669.2501755494791,Bach,raw_data_unzipped/Bach/Bwv0528 Sonate en trio n4.mid
118,Bach/Bwv0936 Little Prelude n4.mid,95.91666666666667,Bach,raw_data_unzipped/Bach/Bwv0936 Little Prelude n4.mid
119,Bach/Bwv0916 Toccata.mid,311.6223958333323,Bach,raw_data_unzipped/Bach/Bwv0916 Toccata.mid
120,Bach/Bwv0811 English Suite n6 7mov.mid,95.8,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 7mov.mid
121,Bach/Bwv0566 Prelude and Fugue.mid,674.0436900000001,Bach,raw_data_unzipped/Bach/Bwv0566 Prelude and Fugue.mid
122,Bach/Bwv0564 Toccata Adagio and Fugue.mid,1011.4261130000004,Bach,raw_data_unzipped/Bach/Bwv0564 Toccata Adagio and Fugue.mid
123,Bach/Bwv1005 Violin Sonata n3 4mov Allegro.mid,392.765631,Bach,raw_data_unzipped/Bach/Bwv1005 Violin Sonata n3 4mov Allegro.mid
124,Bach/Bwv0563 Fantasie con imitation.mid,255.83875,Bach,raw_data_unzipped/Bach/Bwv0563 Fantasie con imitation.mid
125,Bach/Bwv0540 Toccata and Fugue.mid,953.2671049999999,Bach,raw_data_unzipped/Bach/Bwv0540 Toccata and Fugue.mid
126,Bach/Bwv0806 English Suite n1 06mov .mid,144.3,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 06mov .mid
127,Bach/Bwv0538 Toccata and Fugue ''Dorian''.mid,803.1611999999998,Bach,raw_data_unzipped/Bach/Bwv0538 Toccata and Fugue ''Dorian''.mid
128,Bach/Piano version of Bachs two part inventions No.15.mid,51.08816983333331,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.15.mid
129,Bach/Bwv0997 Partita for Lute 4mov.mid,288.818199,Bach,raw_data_unzipped/Bach/Bwv0997 Partita for Lute 4mov.mid
130,Bach/Piano version of Bachs two part inventions No.14.mid,107.03776850000001,Bach,raw_data_unzipped/Bach/Piano version of Bachs two part inventions No.14.mid
131,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii22b.mid,326.23897595833347,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii22b.mid
132,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII14A.mid,152.81772393333335,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII14A.mid
133,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii18b.mid,285.6857728333333,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii18b.mid
134,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII02A.mid,150.27907083749994,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII02A.mid
135,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII22A.mid,167.98243426666667,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII22A.mid
136,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii14b.mid,243.86544678333328,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii14b.mid
137,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII18A.mid,199.9625000000049,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII18A.mid
138,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii02b.mid,145.07692887499994,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii02b.mid
139,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii03b.mid,104.96823742499997,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii03b.mid
140,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII19A.mid,98.95416666666667,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII19A.mid
141,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii15b.mid,67.77143491666668,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii15b.mid
142,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII23A.mid,114.35444893333333,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII23A.mid
143,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII03A.mid,91.94593037500005,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII03A.mid
144,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii19b.mid,75.57725531666664,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii19b.mid
145,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII15A.mid,143.9375,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII15A.mid
146,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii23b.mid,210.4571541083334,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii23b.mid
147,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii24a.mid,131.9875,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii24a.mid
148,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii12b.mid,112.13817910416662,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii12b.mid
149,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii04b.mid,131.42211866666676,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii04b.mid
150,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII08A.mid,144.00000000000003,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII08A.mid
151,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii24b.mid,104.35571822499995,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii24b.mid
152,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII12A.mid,221.49370973333333,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII12A.mid
153,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII04A.mid,203.87465243749995,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII04A.mid
154,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii08b.mid,218.37599275416667,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii08b.mid
155,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii09b.mid,171.99999999999997,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii09b.mid
156,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII05A.mid,388.3834815,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII05A.mid
157,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII13A.mid,172.6872864,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII13A.mid
158,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII09A.mid,240.87950126666672,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII09A.mid
159,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii05b.mid,153.72724683333334,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii05b.mid
160,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii13b.mid,168.95833333333368,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii13b.mid
161,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii06b.mid,90.38443630833329,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii06b.mid
162,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii10b.mid,260.99999999999994,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii10b.mid
163,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII06A.mid,96.68956321666667,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII06A.mid
164,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii10a.mid,231.69241780833332,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii10a.mid
165,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii11a.mid,216.0,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii11a.mid
166,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII07A.mid,158.99999999999994,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII07A.mid
167,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii11b.mid,113.51648516666667,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii11b.mid
168,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii07b.mid,140.0,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii07b.mid
169,Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII16A.mid,41.95416666666668,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/WTCII16A.mid
170,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii20b.mid,93.58883879999998,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii20b.mid
171,Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii16b.mid,189.87992020000004,Bach,raw_data_unzipped/Bach/Bwv870-893 The Well Tempered Clavier Book 2/Wtcii16b.mid
